Activity Date,Activity Name,Activity Type,Elapsed Time,Distance,Max Heart Rate,Moving Time,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Max Cadence,Average Cadence,Average Heart Rate,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Bearing,Cloud Cover,UV Index
"Apr 1, 2015, 6:33:43 PM",Interval Training (Whites X),Run,2909,7.35,,2475,4.800000191,,0,,136.3999939,140.3000031,2.900000095,0.00815439,,,,,,,,,,,,
"Apr 1, 2016, 6:59:49 AM",Morning Run,Run,2099,5.6,,1670,5.099999905,,14.1086998,,-1.399999976,16.20000076,50,-0.110611998,,,,,,,,,,,,
"Apr 1, 2017, 6:57:06 AM",Morning Run,Run,6516,19.36,,6208,3.799999952,,170.0460052,,118.5,192.8999939,11.89999962,0.0123917,,,,,,,,,,,,
"Apr 1, 2019, 1:20:01 PM",Afternoon Run,Run,1260,1.81,118,1240,1.899999976,,19.83333397,64,101.0999985,108.8000031,3.900000095,0,59,54.51225662,102.0008163,,,,,,,,,
"Apr 1, 2019, 6:00:16 PM",Evening Run,Run,3897,5.47,116,3668,3.200000048,,55.71111298,118,180.1000061,222.8000031,10.5,0,86,54.15942764,80.59909821,,,,,,,,,
"Apr 1, 2020, 1:23:18 PM",â›… Afternoon Run,Run,3496,5.98,114,3496,2.299999952,1.713000059,70.79750061,209,137,185.1000061,6.900000095,0.025048008,61,56.38203049,94,,,,,,,,,
"Apr 1, 2021, 8:30:58 PM",â˜ï¸ Night Activity,Workout,1567,2.56,144,1567,1.899999976,1.635098934,17.86666679,53,171.8999939,185.1000061,3.900000095,-0.019514481,58,54.64965057,105.9904251,9.930000305,7.690000057,7.190000057,0.829999983,1026.699951,4.510000229,72,0.039999999,0
"Apr 10, 2017, 5:44:16 PM",Evening Run,Run,1196,3.99,,1196,4,,29.78000069,,9,39.59999847,12.39999962,0.032588799,,,,,,,,,,,,
"Apr 10, 2020, 10:48:00 AM",â˜ï¸ Lunch Run,Run,3868,5.67,123,3661,2.400000095,1.468000054,62.56848526,59.06850052,138.3000031,181.8000031,7.300000191,0.061639253,63,54.41153336,94,,,,,,,,,
"Apr 10, 2021, 7:57:42 PM",â˜ï¸ Evening Activity,Workout,2192,3.46,128,2192,2.700000048,1.581386805,20.26000023,79,171.8999939,185.8000031,3.700000048,-0.005769675,58,54.55570602,105.6936035,4.75,0.839999974,-0.129999995,0.709999979,1018.799988,5.400000095,336,0.660000026,0
"Apr 11, 2015, 7:08:31 AM",18 from Grandons,Run,10348,29.25,,9909,4.400000095,,185.3450012,,4.5,41.09999847,32.20000076,0.00136747,,,,,,,,,,,,
